review_text,cleaned_text
"I am writing this review after using the product for almost a year. Performance is good, camera quality is okish, sound quality is poor. Video quality is also good. Even after using the dolby feature ... more",writing review using product almost year performance good camera quality okish sound quality poor video quality also good even using dolby feature
Product is good but sound and camera are very compromising Camera = 1.5/5 Sound = 2.5/5 Battery = 3.5/5,product good sound camera compromising camera sound battery
"I recently had the opportunity to assess the device, and I was quite impressed. The design is sleek and modern, making it visually appealing and portable. Furthermore, the performance was smooth, allo... more",recently opportunity assess device quite impressed design sleek modern making visually appealing portable furthermore performance smooth allo
Performance and design of the laptop is good. The speaker is terrible for a laptop. Even a mobile phone speaker is louder and clearer compared to this.,performance design laptop good speaker terrible laptop even mobile phone speaker louder clearer compared
Amazing great product build quality is premium performance display amazing value for money,amazing great product build quality premium performance display amazing value money
"I was looking for a 14 inch laptop then my friend suggested this laptop. I decided to go with this laptop. Happy to have this masterpiece. This laptop is slim, low weight, very good display and has sh... more",looking inch laptop friend suggested laptop decided laptop happy masterpiece laptop slim low weight good display
"First a lot of thanks to Flipkart, as because I got this laptop at 45k, which was not expectable..... The laptop is the premium segment of the Samsung, the most trusted company with great customer sup... more",first lot thanks flipkart got laptop expectable laptop premium segment samsung trusted company great customer sup
The Samsung Galaxy Book 4 16/512GB is a high-performance laptop designed to compete with other premium models on the market. Light weight and Slim.,samsung galaxy book highperformance laptop designed compete premium models market light weight slim
Overall a good product for 40K. I5/16GB Cons i that i found : 1. Very very very low sound/volume. Cant hear anything. 2. Display is not black enough. It doesnt go Led black. It has whitish tone. 3. R... more,overall good product cons found low soundvolume cant hear anything display black enough doesnt led black whitish tone
"The Samsung Galaxy Book 4 is a sleek, reliable laptop with a crisp display, solid performance, and impressive battery life. Its lightweight design makes it easy to carry, while great connectivity opti... more",samsung galaxy book sleek reliable laptop crisp display solid performance impressive battery life lightweight design makes easy carry great connectivity opti
Good product but and best price ...I got it in 42k 16/512,good product best price got
Perfect for coding ....... Not expect any kind of gaming or edting,perfect coding expect kind gaming edting
Overall leptop is good. If you are students that is best for you. But leptop cemra is very poor .,overall leptop good students best leptop cemra poor
"everything is ok ok, sound is below average, my recommendation is to add little extra and go for Macbook. even the old M1 processor with 8gb ram only gives better performance than these budget laptops... more",everything sound average recommendation add little extra macbook even old processor ram gives better performance budget laptops
"Pros: Liked display of the laptop, outside look is nice. Performance is okay. Cons. Though outside looks are good but it's not sturdy, screen side flap is very light. So, it's a device which need to... more",pros liked display laptop outside look nice performance okay cons though outside looks good sturdy screen side flap light device need
"Will just mention the cons of this laptop, rest all is good given the price point. Cons:- 1. Speakers:- The sound quality is not at all good. You'll need a very quiet room to watch a movie. 2. Came... more",mention cons laptop rest good given price point cons speakers sound quality good youll need quiet room watch movie came
Nice and best laptop in my office and multitasking used,nice best laptop office multitasking used
The packaging was amazing and well packed I was amazed.,packaging amazing well packed amazed
"The Samsung Galaxy Book4 with Intel Core i5 (13th Gen) and 16GB RAM is a superb choice for both work and study needs. Its slim and light metal design, fast 512GB SSD, and vibrant 15.6-inch display mak... more",samsung galaxy intel core gen ram superb choice work study needs slim light metal design fast ssd vibrant display mak
Only One Word - Excellent Product 🤩😉😀 Good looking metal built by Samsung. Specs wise Good Battery not tested yet but overall good👍 Overall 4.4/5 🔥,one word excellent product good looking metal built samsung specs wise good battery tested yet overall good overall
"Trust me the best product ever by samsung, Great performance, battery backup is Above average but not excellent, design is something more than excellent,and keyboard and display is superb overall best... more",trust best product ever samsung great performance battery backup average excellent design something excellentand keyboard display superb overall best
Display was too nice worth for money,display nice worth money
You cannot get a better deal. Just go for it,get better deal
"I found everything in this laptop to be good😍... it has backlight, fingerprint etc but I did not like the battery... as it was mentioned in the specifications that the battery would give 7 hours of b... more",found everything laptop good backlight fingerprint etc like battery mentioned specifications battery would give hours
Wow what a performance!!! Compact design and look!!! Absolutely amazing laptop!!! Must buy!!! This much cost very worth full piece!!! Finally i loved it!!!,wow performance compact design look absolutely amazing laptop must buy much cost worth full piece finally loved
An amazing laptop at this price range Performance is awesome .... Samsung Ecosystem is love I mean I have samsung tablet it connects seamlessly.. with tab it's look like .... An angel.... Just you a... more,amazing laptop price range performance awesome samsung ecosystem love mean samsung tablet connects seamlessly tab look like angel
Awesome Product at the Price Point. Fully satisfied with look and feel along with features like pre installed MS Office 2024 along with 2 Gen4 NVME slot to upgrade the storage. Only drawback is Non up... more,awesome product price point fully satisfied look feel along features like pre installed office along nvme slot upgrade storage drawback non
It's the best laptop for students'lives . The display is the best quality and the sound quality is so poor but overall it's a very good laptop.,best laptop studentslives display best quality sound quality poor overall good laptop
"this laptop is perfect for professional use like if you're not so in gaming then you can buy it blindly, and it's very thin and light weight, The screen is good, the fingerprint scanner is very fast,i... more",laptop perfect professional use like youre gaming buy blindly thin light weight screen good fingerprint scanner fasti
"Perfect for Education, office work just buy it",perfect education office work buy
It is good and best balue for money product I think it can make student life easier and good 👍 😊 😀,good best balue money product think make student life easier good
Good product and worth buying only when below 50k,good product worth buying
"Very good performance as expected, thank you samsung and flipkart😊😊",good performance expected thank samsung flipkart
Awesome ❤️ It is my first laptop 💻 Everything is working fine👍,awesome first laptop everything working fine
Very Awesome Product Value Of Money,awesome product value money
Performance 5/5 Display 5/5 Battery 5/5 Samsung best laptop. Stylish look with hard body .. Best laptop ever. Thanks Flipkart 🙏,performance display battery samsung best laptop stylish look hard body best laptop ever thanks flipkart
Very very nice experience about the laptop. Worth every penny,nice experience laptop worth every penny
I bought at 48 thousand At this price range it is very class laptop value for money,bought thousand price range class laptop value money
"I bought it in BB sale 2024...Good display, super design like apple, finger print sensor working good fast, performance also good. But I never ever expect like this from samsung, speaker sound very lo... more",bought sale display super design like apple finger print sensor working good fast performance also good never ever expect like samsung speaker sound
